id,formula,target,Ea (eV),space group,ICSD Entry,formula_preprocessed
825,Li1.6Mg1.2Cl4,3.07E-06,,,,Li1.6Mg1.2Cl4
826,Li1.34Mg1.33Cl4,3.07E-06,,,,Li1.34Mg1.33Cl4
827,Li1.9Mn1.05Cl4,4.61E-06,,,,Li1.9Mn1.05Cl4
828,Li1.72Mn1.14Cl4,3.62E-06,,,,Li1.72Mn1.14Cl4
829,Li1.6Mn1.2Cl4,1.45E-05,,,,Li1.6Mn1.2Cl4
830,Li1.52Mn1.24Cl4,1.85E-05,,,,Li1.52Mn1.24Cl4
831,Li1.34Mn1.33Cl4,9.57E-06,,,,Li1.34Mn1.33Cl4
832,Li1.94Cl1.03Cl4,2.56E-06,,,,Li1.94Cl1.03Cl4
833,Li1.90Cd1.05Cl4,3.50E-06,,,,Li1.90Cd1.05Cl4
834,Li2OHBrF,7.10E-07,,,,Li2OHBrF
835,Li2OHBr0.99F0.01,9.16E-07,,,,Li2OHBr0.99F0.01
836,Li2OHBr0.98F0.02,1.11E-06,,,,Li2OHBr0.98F0.02
837,Li2OHBr0.95F0.05,6.75E-07,,,,Li2OHBr0.95F0.05
838,Li2OHBr0.9F0.1,6.80E-07,,,,Li2OHBr0.9F0.1
839,Li2OHBr0.8F0.2,5.44E-07,,,,Li2OHBr0.8F0.2
840,Li3(OH)2Cl,2.72E-08,0.88,,,Li3(OH)2Cl
841,Li5(OH)3Cl2,2.52E-08,0.75,,,Li5(OH)3Cl2
842,Li2OHCl,4.28E-08,0.56,,,Li2OHCl
843,Li5(OH)2Cl3,1.48E-07,0.49,,,Li5(OH)2Cl3
844,Li3OHCl2,8.92E-08,0.67,,,Li3OHCl2
845,Li3.7Zn0.15GeO4,4.63E-07,,,,Li3.7Zn0.15GeO4
846,Li3.5Zn0.25GeO4,2.42E-07,,,,Li3.5Zn0.25GeO4
847,Li3.1Zn0.45GeO4,9.89E-08,,,,Li3.1Zn0.45GeO4
848,Li2.8Zn0.6GeO4,1.27E-07,,,,Li2.8Zn0.6GeO4
849,Li2.6Zn0.7GeO4,5.79E-08,,,,Li2.6Zn0.7GeO4
850,Li2.3Zn0.85GeO4,4.23E-09,,,,Li2.3Zn0.85GeO4
851,Li7La2.75Ca0.25Zr1.75Nb0.25O12,2.20E-04,0.35,,,Li7La2.75Ca0.25Zr1.75Nb0.25O12
852,Li1.5Cr0.5Ti1.5(PO4)3,1.98E-04,0.29,,,Li1.5Cr0.5Ti1.5(PO4)3
853,Li3V2(PO4)3,2.09E-07,,,,Li3V2(PO4)3
854,Li3V1.8Al0.2(PO4)3,1.88E-06,,,,Li3V1.8Al0.2(PO4)3
855,Li3V1.6Al0.4(PO4)3,6.21E-06,,,,Li3V1.6Al0.4(PO4)3
856,Li3V1.4Al0.6(PO4)3,9.34E-07,,,,Li3V1.4Al0.6(PO4)3
857,Li7P2.9Mn0.1S10.7I0.3,5.60E-03,0.22,,,Li7P2.9Mn0.1S10.7I0.3
858,0.3 Li2S * 0.7 SiS2,1.60E-06,0.46,,,Li0.6Si0.7S1.7
859,0.4 Li2S * 0.6 SiS2,2.80E-05,0.38,,,Li0.8Si0.6S1.6
860,0.5 Li2S * 0.5 SiS2,0.0001,0.32,,,Li1.0Si0.5S1.5
861,0.6 Li2S * 0.4 SiS2,0.0005,0.25,,,Li1.2Si0.4S1.4
862,(2Li2S-P2S5),0.000112,,,,Li4P2S7?
863,(2Li2S-P2S5)0.85(LiI)0.15,0.000235,,,,Li3.55P1.70S5.95I0.15
864,(2Li2S-P2S5)0.75(LiI)0.25,0.000396,,,,Li3.25P1.50S5.25I0.25
865,(2Li2S-P2S5)0.60(LiI)0.40,0.00076,,,,Li2.80P1.20S4.20I0.40
866,(2Li2S-P2S5)0.55(LiI)0.45,0.00112,,,,Li2.65P1.10S3.85I0.45
867,0.14 SiS2-0.09 P2S5-0.47 Li2S-0.30 LiI,0.00132,0.34,,,I0.3Li1.24P0.18S1.2Si0.14
868,0.26B2S3 ? 0.3Li2S ? 0.44LiI,0.00157,0.3,,,B0.52S1.08Li1.04I0.44
869,0.26B2S3 ? 0.31Li2S ? 0.43LiI,0.000799,0.33,,,B0.52S1.09Li1.05I0.43
870,0.27B2S3 ? 0.32Li2S ? 0.41LiI,0.000425,0.35,,,B0.54S1.1300000000000001Li1.05I0.41
871,0.5 SiS2-0.5 Li2S,0.00015,0.34,,,Si1S3.0Li2.0
872,0.1 LiBr-0.45 SiS2-0.45 Li2S,0.00019,0.3,,,Br0.1Li1S1.35Si0.45
873,0.2 LiBr-0.4 SiS2-0.4 Li2S,0.00021,0.33,,,Br0.2Li1S1.2Si0.4
874,0.25 LiBr-0.38 SiS2-0.38 Li2S,0.00024,0.31,,,Br0.25Li1.01S1.14Si0.38
875,0.3 LiBr-0.3 SiS2-0.35 Li2S,0.00032,0.33,,,Br0.3Li1S0.95Si0.3
876,0.35 LiBr-0.33 SiS2-0.33 Li2S,0.00023,0.38,,,Br0.35Li1.01S0.99Si0.33
877,0.4 LiBr-0.3 SiS2-0.3 Li2S,0.00011,0.42,,,Br0.4Li1S0.9Si0.3
878,SiS2-Li2S,0.00012,0.35,,,Si1S3.0Li2.0
879,0.9(SiS2-Li2S)-0.1LiCl,0.000184,0.34,,,Si0.900S2.800Li2.100Cl0.100
880,0.8(SiS2-Li2S)-0.2LiCl,0.000235,0.33,,,Si0.800S2.600Li2.200Cl0.200
881,0.75(SiS2-Li2S)-0.25LiCl,0.000266,0.35,,,Si0.750S2.500Li2.250Cl0.250
882,0.7(SiS2-Li2S)-0.3LiCl,0.000233,0.35,,,Si0.700S2.400Li2.300Cl0.300
883,0.65(SiS2-Li2S)-0.35LiCl,0.000178,0.36,,,Si0.650S2.300Li2.350Cl0.350
884,0.6(SiS2-Li2S)-0.4LiCl,9.30E-05,0.34,,,Si0.600S2.200Li2.400Cl0.400
885,(0.4SiS2-0.6Li2S),0.00053,0.33,,,Si0.4Li1.2S1.4?
886,0.9(0.4SiS2-0.6Li2S)-0.1LiI,0.00065,0.31,,,Si0.360S1.320Li1.300I0.100
887,0.8(0.4SiS2-0.6Li2S)-0.2LiI,0.00077,0.3,,,Si0.320S1.240Li1.400I0.200
888,0.7(0.4SiS2-0.6Li2S)-0.3LiI,0.00115,0.29,,,Si0.280S1.160Li1.500I0.300
889,0.6(0.4SiS2-0.6Li2S)-0.4LiI,0.00178,0.28,,,Si0.240S1.080Li1.600I0.400
890,0.55(0.4SiS2-0.6Li2S)-0.45LiI,0.00141,0.29,,,Si0.220S1.040Li1.650I0.450
891,0.24SiS2-0.36Li2S-0.4LiI,0.0018,0.28,,,I0.4Li1.12S0.84Si0.24
892,0.28SiS2-0.42Li2S-0.30LiI,0.0018,0.31,,,I0.3Li1.14S0.98Si0.28
893,0.14SiS2-0.09P2S5-0.47Li2S-0.30LiI,0.0021,0.34,,,I0.3Li1.24P0.18S1.2Si0.14
894,0.27SiS2-0.03Al2S3-0.30Li2S-0.40LiI,0.0012,0.34,,,Al0.06I0.4Li1S0.9299999999999999Si0.27
895,0.21SiS2-0.09B2S3-0.30Li2S-0.40LiI,0.0017,0.3,,,B0.18I0.4Li1S0.99Si0.21
896,0.30Li2S-0.7GeS???2,4.40E-07,0.63,,,Li0.6Ge0.7S1.7?
897,0.40Li2S-0.60GeS2,3.20E-06,0.52,,,Li0.8S1.6Ge0.6
898,0.50Li2S-0.50GeS2,4.00E-05,0.51,,,Li1.0S1.5Ge0.5
899,0.3Li2S-0.7P2S5,0.017,0.18,,,Li0.6S3.8P1.4
900,0.7Li2S-0.3P2S5,0.0032,0.12,,,Li1.4S2.2P0.6
901,0.6Li2S-0.4P2S5,0.00015,0.31,,,Li1.2S2.6P0.8
902,0.95(0.6Li2S-0.4SiS2)- 0.05Li4SiO4,0.00158,0.34,,,Li1.340S1.370Si0.450O0.200
903,0.9(0.6Li2S-0.4SiS2)- 0.1Li4SiO4,0.000434,0.37,,,Li1.480S1.340Si0.500O0.400
904,0.8(0.6Li2S-0.4SiS2)- 0.2Li4SiO4,0.000159,0.43,,,Li1.760S1.280Si0.600O0.800
905,0.95(0.6Li2S-0.4SiS2)-0.05Li3PO4,0.000868,0.35,,,Li1.290S1.370Si0.400P0.050O0.200
906,0.7(0.6Li2S-0.4SiS2)- 0.3Li3PO4,2.08E-05,0.46,,,Li1.740S1.220Si0.400P0.300O1.200
907,0.6(0.6Li2S-0.4SiS2)- 0.4Li3PO4,5.33E-06,0.51,,,Li1.920S1.160Si0.400P0.400O1.600
908,0.95(0.6Li2S-0.4SiS2)-0.05Li4GeO4,0.00119,0.28,,,Li1.340S1.370Si0.400Ge0.050O0.200
909,0.9(0.6Li2S-0.4SiS2)- 0.1Li4GeO4,0.000318,0.35,,,Li1.480S1.340Si0.400Ge0.100O0.400
910,0.85(0.6Li2S-0.4SiS2)- 0.15Li4GeO4,0.000114,0.4,,,Li1.620S1.310Si0.400Ge0.150O0.600
911,0.95(0.6Li2S-0.4SiS2)-0.05Li3BO3,0.00144,0.33,,,Li1.290S1.370Si0.400B0.050O0.150
912,0.93(0.6Li2S-0.4SiS2)-0.07Li3BO3,0.000384,0.35,,,Li1.326S1.358Si0.400B0.070O0.210
913,0.85(0.6Li2S-0.4SiS2)-0.15Li3BO3,0.000342,0.36,,,Li1.470S1.310Si0.400B0.150O0.450
914,0.75(0.6Li2S-0.4SiS2)-0.25Li3BO3,7.06E-05,0.38,,,Li1.650S1.250Si0.400B0.250O0.750
915,0.95(0.6Li2S-0.4SiS2)-0.05Li3AlO3,0.00131,0.31,,,Li1.290S1.370Si0.400Al0.050O0.150
916,0.94(0.6Li2S-0.4SiS2)-0.06Li3AlO3,0.000683,0.34,,,Li1.308S1.364Si0.400Al0.060O0.180
917,0.92(0.6Li2S-0.4SiS2)-0.08Li3AlO3,0.000404,0.34,,,Li1.344S1.352Si0.400Al0.080O0.240
918,0.825(0.6Li2S-0.4SiS2)- 0.175Li3AlO3,0.000131,0.36,,,Li1.515S1.295Si0.400Al0.175O0.525
919,0.975(0.6Li2S-0.4SiS2)-0.025Li3GaO3,0.000682,0.31,,,Li1.245S1.385Si0.400Ga0.025O0.075
920,0.95(0.6Li2S-0.4SiS2)-0.05Li3GaO3,0.000325,0.32,,,Li1.290S1.370Si0.400Ga0.050O0.150
921,0.92(0.6Li2S-0.4SiS2)-0.08Li3GaO3,0.000303,0.35,,,Li1.344S1.352Si0.400Ga0.080O0.240
922,0.89(0.6Li2S-0.4SiS2)-0.11Li3GaO3,0.000113,0.38,,,Li1.398S1.334Si0.400Ga0.110O0.330
923,0.97(0.6Li2S-0.4SiS2)-0.03Li3InO3,0.000309,0.34,,,Li1.254S1.382Si0.400In0.030O0.090
924,0.95(0.6Li2S-0.4SiS2)-0.05Li3InO3,0.000325,0.35,,,Li1.290S1.370Si0.400In0.050O0.150
925,0.9(0.6Li2S-0.4SiS2)-0.1Li3InO3,6.84E-05,0.4,,,Li1.380S1.340Si0.400In0.100O0.300
926,0.95(0.6Li2S-0.4SiS2)-0.05Li4SiO4,0.00154,0.38,,,Li1.340S1.370Si0.450O0.200
927,0.9(0.6Li2S-0.4SiS2)-0.1Li4SiO4,0.000439,0.4,,,Li1.480S1.340Si0.500O0.400
928,0.95(0.6Li2S-0.4SiS2)-0.05Li2SO4,0.000453,0.41,,,Li1.240S1.420Si0.400O0.200
929,0.9(0.6Li2S-0.4SiS2)-0.1Li2SO4,4.70E-05,0.45,,,Li1.280S1.440Si0.400O0.400
930,0.5Li2O-0.1TiO2-0.4P2O5,5.67E-08,0.56,,,Li1O2.7P0.8Ti0.1
931,0.5025Li2O-0.0025Al2O3-0.095TiO2-0.4P2O5,1.56E-08,0.55,,,Al0.005Li1.005O2.7P0.8Ti0.095
932,0.505Li2O-0.005Al2O3-0.09TiO2-0.4P2O5,1.78E-07,0.5,,,Al0.01Li1.01O2.7P0.8Ti0.09
933,0.5075Li2O-0.0075Al2O3-0.085TiO2-0.4P2O5,2.51E-07,0.57,,,Al0.015Li1.015O2.7P0.8Ti0.085
934,0.51Li2O-0.01Al2O3-0.08TiO2-0.4P2O5,1.58E-07,0.55,,,Al0.02Li1.02O2.7P0.8Ti0.08
935,0.515Li2O-0.015Al2O3-0.07TiO2-0.4P2O5,1.25E-07,0.56,,,Al0.03Li1.03O2.7P0.8Ti0.07
936,0.525Li2O-0.025Al2O3-0.05TiO2-0.4P2O5,2.17E-07,0.56,,,Al0.05Li1.05O2.7P0.8Ti0.05
937,0.53Li2O-0.03Al2O3-0.04TiO2-0.4P2O5,2.72E-07,0.54,,,Al0.06Li1.06O2.7P0.8Ti0.04
938,0.54Li2O-0.04Al2O3-0.02TiO2-0.4P2O5,1.97E-07,0.55,,,Al0.08Li1.08O2.7P0.8Ti0.02
939,0.545Li2O-0.045Al2O3-0.01TiO2-0.4P2O5,7.14E-08,0.56,,,Al0.09Li1.09O2.7P0.8Ti0.01
940,0.95(0.6Li2S-0.4SiS2)-0.05Li4SiO4,0.00151,0.34,,,Li1.340S1.370Si0.450O0.200
941,0.90(0.6Li2S-0.4SiS2)-0.1Li4SiO4,0.000434,0.37,,,Li1.480S1.340Si0.500O0.400
942,0.8(0.6Li2S-0.4SiS2)-0.2Li4SiO4,0.000163,0.43,,,Li1.760S1.280Si0.600O0.800
943,0.95(0.6Li2S-0.4SiS2)-0.05Li3PO4,0.000932,0.35,,,Li1.290S1.370Si0.400P0.050O0.200
944,0.9(0.6Li2S-0.4SiS2)-0.1Li3PO4,0.000455,0.37,,,Li1.380S1.340Si0.400P0.100O0.400
945,0.7(0.6Li2S-0.4SiS2)-0.3Li3PO4,2.08E-05,0.46,,,Li1.740S1.220Si0.400P0.300O1.200
946,0.6(0.6Li2S-0.4SiS2)-0.4Li3PO4,5.33E-06,0.51,,,Li1.920S1.160Si0.400P0.400O1.600
947,0.95(0.6Li2S-0.4SiS2)-0.05Li4GeO4,0.00121,0.28,,,Li1.340S1.370Si0.400Ge0.050O0.200
948,0.9(0.6Li2S-0.4SiS2)-0.1Li4GeO4,0.000318,0.34,,,Li1.480S1.340Si0.400Ge0.100O0.400
949,0.85(0.6Li2S-0.4SiS2)-0.15Li4GeO4,0.000114,0.41,,,Li1.620S1.310Si0.400Ge0.150O0.600
950,Li7PS6,8.00E-05,,,,Li7PS6
951,0.7Li2S-0.3P2S5,0.0032,0.12,,,Li1.4S2.2P0.6
952,0.95(0.6Li2S-0.4SiS2)-0.05Li3BO3,0.0014,,,,Li1.290S1.370Si0.400B0.050O0.150
953,0.93(0.6Li2S-0.4SiS2)-0.07Li3BO3,0.000371,,,,Li1.326S1.358Si0.400B0.070O0.210
954,0.85(0.6Li2S-0.4SiS2)-0.15Li3BO3,0.000339,,,,Li1.470S1.310Si0.400B0.150O0.450
955,0.75(0.6Li2S-0.4SiS2)-0.25Li3BO3,7.15E-05,,,,Li1.650S1.250Si0.400B0.250O0.750
956,0.95(0.6Li2S-0.4SiS2)-0.05Li3AlO3,0.00122,,,,Li1.290S1.370Si0.400Al0.050O0.150
957,0.94(0.6Li2S-0.4SiS2)-0.06Li3AlO3,0.000667,,,,Li1.308S1.364Si0.400Al0.060O0.180
958,0.92(0.6Li2S-0.4SiS2)-0.08Li3AlO3,0.000394,,,,Li1.344S1.352Si0.400Al0.080O0.240
959,0.825(0.6Li2S-0.4SiS2)-0.175Li3AlO3,0.000125,,,,Li1.515S1.295Si0.400Al0.175O0.525
960,0.975(0.6Li2S-0.4SiS2)-0.025Li3GaO3,0.000705,,,,Li1.245S1.385Si0.400Ga0.025O0.075
961,0.95(0.6Li2S-0.4SiS2)-0.05Li3GaO3,0.000336,,,,Li1.290S1.370Si0.400Ga0.050O0.150
962,0.92(0.6Li2S-0.4SiS2)-0.08Li3GaO3,0.000306,,,,Li1.344S1.352Si0.400Ga0.080O0.240
963,0.89(0.6Li2S-0.4SiS2)-0.11Li3GaO3,0.00012,,,,Li1.398S1.334Si0.400Ga0.110O0.330
964,0.97(0.6Li2S-0.4SiS2)-0.03Li3InO3,0.000311,,,,Li1.254S1.382Si0.400In0.030O0.090
965,0.95(0.6Li2S-0.4SiS2)-0.05Li3InO3,0.000299,,,,Li1.290S1.370Si0.400In0.050O0.150
966,0.90(0.6Li2S-0.4SiS2)-0.10Li3InO3,6.81E-05,,,,Li1.380S1.340Si0.400In0.100O0.300
967,(0.67Li2S-0.33SiS2)-(0.75Li2S-0.25P2S5),0.0012,0.28,,,Li2.840S3.330Si0.330P0.500
968,0.2Li3N-0.8SiS2,1.46E-06,0.45,,,Li0.6000000000000001N0.2Si0.8S1.6
969,0.3Li3N-0.7SiS2,2.97E-05,0.36,,,Li0.8999999999999999N0.3Si0.7S1.4
970,0.4Li3N-0.6SiS2,0.000274,0.3,,,Li1.2000000000000002N0.4Si0.6S1.2
971,0.5Li3N-0.5SiS2,4.47E-05,0.34,,,Li1.5N0.5Si0.5S1.0
972,0.6Li3N-0.4SiS2,2.25E-08,0.63,,,Li1.7999999999999998N0.6Si0.4S0.8
973,0.6Li2S-0.4P2S3,5.70E-06,,,,Li1.2S1.8000000000000003P0.8
974,0.63Li2S-0.37P2S3,2.55E-05,,,,Li1.26S1.7399999999999998P0.74
975,0.667Li2S-0.333P2S3,0.00011,0.4,,,Li1.334S1.6660000000000001P0.666
976,0.7Li2S-0.3P2S3,7.90E-05,,,,Li1.4S1.5999999999999999P0.6
977,0.75Li2S-0.25P2S3,5.08E-05,,,,Li1.5S1.5P0.5
978,0.6Li2S-0.4SiS2,0.00051,0.33,,,Li1.2S1.4Si0.4
979,0.555Li2S-0.4SiS2-0.045Li3N,0.0015,0.28,,,Li1.245N0.045S1.355Si0.4
980,0.525Li2S-0.4SiS2-0.075Li3N,0.00096,0.29,,,Li1.275N0.075S1.3250000000000002Si0.4
981,0.1Li2O-0.1LiCl-0.65B2O3-0.1SiO2-0.05Al2O3,0.00019,0.427,,,Al0.1B1.3Cl0.1Li0.30000000000000004O2.4000000000000004Si0.1
982,0.75Li2O-0.25P2S5,1.80E-05,0.48,,,Li1.5O0.75P0.5S1.25
983,0.75(0.7Li2O-0.3Li2S)-0.25P2S5,2.42E-05,0.48,,,Li1.650O0.525S1.550P0.500
984,0.75(0.5Li2O-0.5Li2S)-0.25P2S5,2.83E-05,0.46,,,Li1.750O0.375S1.750P0.500
985,0.75(0.4Li2O-0.6Li2S)-0.25P2S5,4.99E-05,0.44,,,Li1.800O0.300S1.850P0.500
986,0.75(0.3Li2O-0.7Li2S)-0.25P2S5,8.89E-05,0.4,,,Li1.850O0.225S1.950P0.500
987,0.75(0.2Li2O-0.8Li2S)-0.25P2S5,0.000163,0.38,,,Li1.900O0.150S2.050P0.500
988,0.75(0.1Li2O-0.9Li2S)-0.25P2S5,0.000227,0.36,,,Li1.950O0.075S2.150P0.500
989,0.75Li2S-0.25P2S5,0.00018,0.41,,,Li1.5S2.0P0.5
990,0.45Li2-0.55SiS2,0.000108,0.4,,,Li0.9Si0.55S1.1
991,0.5Li2-0.5SiS2,0.000336,0.32,,,Li1.0Si0.5S1.0
992,0.55Li2-0.45SiS2,0.000653,0.3,,,Li1.1Si0.45S0.9
993,0.60Li2-0.4SiS2,0.00119,0.29,,,Li1.2Si0.4S0.8
994,0.63Li2-0.37SiS2,0.00105,0.3,,,Li1.26Si0.37S0.74
995,0.65Li2-0.35SiS2,0.000741,0.33,,,Li1.3Si0.35S0.7
996,0.95(0.5Li2-0.5SiS2)-0.05(0.5Li2O-0.5P2O5),0.000427,0.38,,,Li1.000Si0.500S1.000O2.525P1.000
997,0.95(0.53Li2-0.47SiS2)-0.05(0.53Li2O-0.47P2O5),0.000591,0.33,,,Li1.060Si0.470S0.940O2.376P0.940
998,0.95(0.55Li2-0.45SiS2)-0.05(0.55Li2O-0.45P2O5),0.00101,0.34,,,Li1.100Si0.450S0.900O2.277P0.900
999,0.95(0.58Li2-0.42SiS2)-0.05(0.58Li2O-0.42P2O5),0.00106,0.34,,,Li1.160Si0.420S0.840O2.129P0.840
1000,0.95(0.6Li2-0.4SiS2)-0.05(0.6Li2O-0.4P2O5),0.00101,0.27,,,Li1.200Si0.400S0.800O2.030P0.800
1001,0.95(0.63Li2-0.37SiS2)-0.05(0.63Li2O-0.37P2O5),0.000871,0.33,,,Li1.260Si0.370S0.740O1.882P0.740
1002,0.95(0.65Li2-0.35SiS2)-0.05(0.65Li2O-0.35P2O5),0.000534,0.32,,,Li1.300Si0.350S0.700O1.782P0.700
1003,0.95(0.67Li2-0.33SiS2)-0.05(0.67Li2O-0.33P2O5),0.000199,0.37,,,Li1.340Si0.330S0.660O1.684P0.660
1004,0.8(0.55Li2-0.45SiS2)-0.2(0.55Li2O-0.45P2O5),7.88E-05,0.41,,,Li1.100Si0.450S0.900O2.360P0.900
1005,0.8(0.6Li2-0.4SiS2)-0.2(0.6Li2O-0.4P2O5),7.69E-05,0.41,,,Li1.200Si0.400S0.800O2.120P0.800
1006,0.8(0.65Li2-0.35SiS2)-0.2(0.65Li2O-0.35P2O5),5.21E-05,0.42,,,Li1.300Si0.350S0.700O1.880P0.700
1007,0.65Li2S-0.35P2S5,4.14E-05,,,,Li1.3S2.4P0.7
1008,0.675Li2S-0.325P2S5,7.84E-05,,,,Li1.35S2.3P0.65
1009,0.7Li2S-0.3P2S5,0.00158,0.39,,,Li1.4S2.2P0.6
1010,0.725Li2S-0.275P2S5,0.000451,,,,Li1.45S2.1P0.55
1011,0.75Li2S-0.25P2S5,0.000367,,,,Li1.5S2.0P0.5
1012,0.6Li2S-0.4SiS2,0.000169,,,,Li1.2S1.4Si0.4
1013,0.1LiI-0.9(0.6Li2S-0.4SiS2),0.000235,,,,Li1.180I0.100S1.340Si0.400
1014,0.2LiI-0.8(0.6Li2S-0.4SiS2),0.000352,,,,Li1.160I0.200S1.280Si0.400
1015,0.3LiI-0.7(0.6Li2S-0.4SiS2),0.000742,,,,Li1.140I0.300S1.220Si0.400
1016,0.5Li2S-0.5SiS2,1.58E-06,,,,Li1.0S1.5Si0.5
1017,0.1LiI-0.9(0.5Li2S-0.5SiS2),3.99E-05,,,,Li1.000I0.100S1.450Si0.500
1018,0.2LiI-0.8(0.6Li2S-0.4SiS2),0.000123,,,,Li1.160I0.200S1.280Si0.400
1019,0.3LiI-0.7(0.6Li2S-0.4SiS2),0.000362,,,,Li1.140I0.300S1.220Si0.400
1020,Li6Si2S7,4.11E-04,0.37,,,Li6Si2S7
1021,0.95Li6Si2S7-0.05Li6B4O9,0.000411,0.35,,,Li5.999999999999999Si1.9S6.6499999999999995B0.2O0.45
1022,0.9Li6Si2S7-0.1Li6B4O9,0.000376,0.39,,,Li6.0Si1.8S6.3B0.4O0.9
1023,0.875Li6Si2S7-0.125Li6B4O9,0.000277,0.39,,,Li6.0Si1.75S6.125B0.5O1.125
1024,0.75Li6Si2S7-0.25Li6B4O9,0.000142,0.4,,,Li6.0Si1.5S5.25B1.0O2.25
1025,0.95Li6Si2S7-0.05Li6B4S9,0.00049,0.37,,,Li5.999999999999999Si1.9S7.1B0.2
1026,0.925Li6Si2S7-0.075Li6B4S9,0.000365,0.38,,,Li6.000000000000001Si1.85S7.15B0.3
1027,0.9Li6Si2S7-0.1Li6B4S9,0.000473,0.38,,,Li6.0Si1.8S7.2B0.4
1028,0.875Li6Si2S7-0.125Li6B4S9,0.00044,0.37,,,Li6.0Si1.75S7.25B0.5
1029,0.75Li6Si2S7-0.25Li6B4S9,0.000502,0.36,,,Li6.0Si1.5S7.5B1.0
1030,0.63Li6Si2S7-0.37Li6B4S9,0.000439,0.39,,,Li6.0Si1.26S7.74B1.48
1031,(Li2S)60(SiS2)28(P2S5)12,1.23E-03,0.34,,,(Li2S)60(SiS2)28(P2S5)12
1032,Li7La3Zr2O12?5 wt% LiPO3,2.50E-06,0.51,,,Li15La6Zr4P1O27?
1033,Li7La3Zr2O12?3 wt% 65Li2O???27B2O3???8SiO2,1.50E-05,0.44,,,Li3.86La1.62Zr1.08O6.58B0.04Si0.01?
1034,Li7La3Zr2O12?5 wt% 40.2Li2O???5.7Y2O3???54.1SiO2,2.50E-05,0.39,,,Li3.76La1.58Zr1.06O6.48Y0.01Si0.05?
1035,0.6Li2S-0.4P2S5,3.32E-06,0.52,,,Li1.2S2.6P0.8
1036,0.667Li2S-0.333P2S5,3.84E-05,0.44,,,Li1.334S2.332P0.666
1037,0.7Li2S-0.3P2S5,3.77E-05,0.45,,,Li1.4S2.2P0.6
1038,0.75Li2S-0.25P2S5,0.000279,0.4,,,Li1.5S2.0P0.5
1039,0.8Li2S-0.2P2S5,0.000132,0.44,,,Li1.6S1.8P0.4
1040, (0.75Li2S-0.25P2S5),0.000268,0.26,,,Li1.5P0.5S2?
1041,0.95(0.75Li2S-0.25P2S5)-0.05LiBH4,0.000398,0.25,,,Li1.475S1.962P0.500B0.050H0.200
1042,0.89(0.75Li2S-0.25P2S5)-0.11LiBH4,0.000618,0.26,,,Li1.445S1.917P0.500B0.110H0.440
1043,0.67(0.75Li2S-0.25P2S5)-0.33LiBH4,0.00113,0.21,,,Li1.335S1.752P0.500B0.330H1.320
1044,Li7P2.9S10.85Mo0.01,4.80E-03,0.24,,,Li7P2.9S10.85Mo0.01
1045,Li7P3S11,2.60E-03,0.29,,,Li7P3S11
1046,Li7P2.9Mn0.1S10.7I0.3,5.60E-03,0.22,,,Li7P2.9Mn0.1S10.7I0.3
1047,Li11AlP2S12,8.02E-04,0.26,,,Li11AlP2S12
1048,Li3PS4,1.78E-04,0.33,,,Li3PS4
1049,Li3PS4 ? 2 wt% Al2O3,0.000227,0.35,,,Li41.63P13.88S55.5AlO1.5
1050,Li3PS4 ? 5 wt% Al2O3,0.000196,0.35,,,Li16.14P5.38S21.52AlO1.5
1051,Li3PS4 ? 8 wt% Al2O3,0.00016,0.36,,,Li9.77P3.26S13.03AlO1.5
1052,Li3PS4 ? 10 wt% Al2O3,0.00015,0.36,,,Li7.65P2.55S10.19AlO1.5
1053,Li3PS4 ? 30 wt% Al2O3,9.96E-05,0.36,,,Li3.0PS4.0Al1.51O2.27
1054,Li3PS4 ? 50 wt% Al2O3,9.38E-07,0.44,,,Li3.0PS4.0Al3.53O5.3
1055,Li3PS4 ? 70 wt% Al2O3,3.92E-08,0.6,,,Li3.0PS4.0Al8.24O12.36
1056,Li3PS4 ? 90 wt% Al2O3,1.54E-09,0.79,,,Li3.0PS4.0Al31.78O47.67
1057,Li3PS4 ? 2 wt% SiO2,0.000228,0.32,,,Li49.07P16.36S65.42SiO2.0
1058,Li3PS4 ? 5 wt% SiO2,0.000196,0.33,,,Li19.03P6.34S25.37SiO2.0
1059,Li3PS4 ? 8 wt% SiO2,0.00016,0.33,,,Li11.52P3.84S15.35SiO2.0
1060,Li3PS4 ? 10 wt% SiO2,0.00015,0.33,,,Li9.01P3.0S12.02SiO2.0
1061,Li3PS4 ? 30 wt% SiO2,0.0001,0.35,,,Li3.0PS4.0Si1.28O2.57
1062,Li3PS4 ? 50 wt% SiO2,3.80E-05,0.36,,,Li3.0PS4.0Si3.0O5.99
1063,Li3PS4 ? 70 wt% SiO2,5.92E-06,0.38,,,Li3.0PS4.0Si6.99O13.98
1064,Li3PS4 ? 90 wt% SiO2,8.53E-09,0.41,,,Li3.0PS4.0Si26.96O53.93
1065,Li3PS4 ? 5 wt% Li6ZnNb4O14,0.000228,0.29,,,Li228.47P74.16S296.63ZnNb4.0O14.0
1066,Li3PS4 ? 10 wt% Li6ZnNb4O14,0.000243,0.31,,,Li111.38P35.13S140.51ZnNb4.0O14.0
1067,Li3PS4 ? 15 wt% Li6ZnNb4O14,0.000241,0.32,,,Li72.35P22.12S88.47ZnNb4.0O14.0
