id,formula,target,Ea (eV),space group,ICSD Entry,formula_preprocessed
396,Li1.4Al0.4Ti0.6(PO4)3,3.30E-03,0.29,167,,Li1.4Al0.4Ti0.6(PO4)3
397,Li1.05Cr0.05Ti0.95(PO4)3,1.80E-04,0.33,167,,Li1.05Cr0.05Ti0.95(PO4)3
398,Li1.1Cr0.1Ti0.9(PO4)3,2.60E-04,0.32,167,,Li1.1Cr0.1Ti0.9(PO4)3
399,Li1.2Cr0.2Ti0.8(PO4)3,4.30E-04,0.31,167,,Li1.2Cr0.2Ti0.8(PO4)3
400,Li1.3Cr0.3Ti0.7(PO4)3,2.90E-04,0.32,167,,Li1.3Cr0.3Ti0.7(PO4)3
401,Li1.05Fe0.05Ti0.95(PO4)3,1.30E-04,0.34,167,,Li1.05Fe0.05Ti0.95(PO4)3
402,Li1.1Fe0.1Ti0.9(PO4)3,6.30E-04,0.34,167,,Li1.1Fe0.1Ti0.9(PO4)3
403,Li1.2Fe0.2Ti0.8(PO4)3,1.40E-03,0.32,167,,Li1.2Fe0.2Ti0.8(PO4)3
404,Li1.3Fe0.3Ti0.7(PO4)3,2.30E-03,0.31,167,,Li1.3Fe0.3Ti0.7(PO4)3
405,Li1.5Fe0.5Ti0.5(PO4)3,2.70E-04,0.32,167,,Li1.5Fe0.5Ti0.5(PO4)3
406,LiGe2(PO4)3,3.37E-07,0.38,167,,LiGe2(PO4)3
407,Li1.3Al0.3Ge1.7(PO4)3,1.42E-04,0.37,167,,Li1.3Al0.3Ge1.7(PO4)3
408,Li1.7Al0.7Ge1.3(PO4)3,2.04E-04,,167,,Li1.7Al0.7Ge1.3(PO4)3
409,Li1.3Cr0.3Ge1.7(PO4)3,8.87E-05,0.39,167,,Li1.3Cr0.3Ge1.7(PO4)3
410,Li1.5Cr0.5Ge1.5(PO4)3,1.21E-04,0.37,167,,Li1.5Cr0.5Ge1.5(PO4)3
411,Li1.7Cr0.7Ge1.3(PO4)3,2.46E-05,,167,,Li1.7Cr0.7Ge1.3(PO4)3
412,Li1.3Ga0.3Ge1.7(PO4)3,4.47E-05,0.38,167,,Li1.3Ga0.3Ge1.7(PO4)3
413,Li1.5Ga0.5Ge1.5(PO4)3,2.01E-05,,167,,Li1.5Ga0.5Ge1.5(PO4)3
414,Li1.3Fe0.3Ge1.7(PO4)3,2.99E-05,0.39,167,,Li1.3Fe0.3Ge1.7(PO4)3
415,Li1.5Fe0.5Ge1.5(PO4)3,2.56E-05,,167,,Li1.5Fe0.5Ge1.5(PO4)3
416,Li1.3Sc0.3Ge1.7(PO4)3,5.59E-05,,167,,Li1.3Sc0.3Ge1.7(PO4)3
417,Li1.3In0.3Ge1.7(PO4)3,9.22E-06,,167,,Li1.3In0.3Ge1.7(PO4)3
418,Li1.5In0.5Ge1.5(PO4)3,5.81E-06,,167,,Li1.5In0.5Ge1.5(PO4)3
419,Li1.5Al0.5Ge1.5(PO4)3,2.86E-04,0.38,167,263764,Li1.5Al0.5Ge1.5(PO4)3
420,LiIO3,1.90E-07,,173,35473,LiIO3
421,Li9Mg3(PO4)4F3,<1E-10,0.835,173,426103,Li9Mg3(PO4)4F3
422,Pb6.12Ca1.9Li1.96(PO4)6,<1E-10,1.05,176,59615,Pb6.12Ca1.9Li1.96(PO4)6
423,LiNdSiO4,<1E-10,,176,,LiNdSiO4
424,LiDySiO4,<1E-10,,176,,LiDySiO4
425,Li2La8Si6O25,<1E-10,,176,,Li2La8Si6O25
426,Li3La7Si6O24,<1E-10,,176,,Li3La7Si6O24
427,Li0.284Sm4.512Si3O12.91,<1E-10,,176,83279,Li0.284Sm4.512Si3O12.91
428,LiLa9Si6O26,<1E-10,,176,291218,LiLa9Si6O26
