,formula_unedited,formula,space group,target
85,Li3.6Ge0.6P0.4S4,Li3.6Ge0.6P0.4S4,11.0,-3.758206351515553
86,Li3.6Si0.6P0.4S4,Li3.6Si0.6P0.4S4,11.0,-4.145700754443675
87,Li3.75Ge0.75V0.25O4,Li3.75Ge0.75V0.25O4,62.0,-5.10687990666239
88,Li3.8Ge0.8P0.2S4,Li3.8Ge0.8P0.2S4,11.0,-5.753270974502406
89,Li3.8Si0.8P0.2S4,Li3.8Si0.8P0.2S4,11.0,-6.0920528055333865
90,Li3BN2,Li3BN2,94.0,-8.42818038236273
91,Li3ClO,Li3ClO,221.0,-2.336320532806835
92,Li3InBr6,Li3InBr6,12.0,-3.3979291515814154
93,Li3N,Li3N,191.0,-3.221848749616356
94,Li3PS4,Li3PS4,31.0,-4.586366824281291
95,Li4GeS4,Li4GeS4,62.0,-6.698970004336019
96,Li4P2S6,Li4P2S6,162.0,-8.20965153014378
97,Li4SiS4,Li4SiS4,11.0,-7.6300392856003
98,Li5La3Nb1.9Y0.1O12,Li5La3Nb1.9Y0.1O12,230.0,-4.843150735219845
99,Li5La3Nb2O12,Li5La3Nb2O12,199.0,-4.980422053166251
100,Li5La3Ta2O12,Li5La3Ta2O12,230.0,-4.969703437655658
101,Li6.2La3Zr1.2Sb0.8O12,Li6.2La3Zr1.2Sb0.8O12,230.0,-3.3467874862246565
102,Li6.2La3Zr1.2Ta0.8O12,Li6.2La3Zr1.2Ta0.8O12,230.0,-3.494850021680094
103,Li6.4La3Zr1.4Sb0.6O12,Li6.4La3Zr1.4Sb0.6O12,230.0,-3.1804560644581312
104,Li6.4La3Zr1.4Ta0.6O12,Li6.4La3Zr1.4Ta0.6O12,230.0,-3.0467538112676174
105,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12,230.0,-3.115254926899324
106,Li6.6La3Zr1.6Sb0.4O12,Li6.6La3Zr1.6Sb0.4O12,230.0,-3.113509274827518
107,Li6.6La3Zr1.6Ta0.4O12,Li6.6La3Zr1.6Ta0.4O12,230.0,-3.2301193614453427
108,Li6.75La3Zr1.75Ta0.25O12,Li6.75La3Zr1.75Ta0.25O12,230.0,-3.167738072837159
109,Li6.8La3Zr1.8Sb0.2O12,Li6.8La3Zr1.8Sb0.2O12,230.0,-4.229147988357856
