id,formula,target,balanced_charge,Ea (eV),space group,ICSD Entry,formula_preprocessed
1336,LiTi2(PO4)3-0.5LiF,0.000232,1,0.28,,,Li1.5Ti2.0P3.0O12.0F0.5
1337,LiTi2(PO4)3,7.18E-06,1,0.48,,,LiTi2(PO4)3
1338,14Li2O-9Al2O3-38TiO2-39P2O5,0.0013,1,0.33,,,Al18Li28O312P78Ti38
1339,Li6.6La3Zr1.6Ta0.4O12,3.13E-04,1,0.38,,,Li6.6La3Zr1.6Ta0.4O12
1340,Li6.6La2.875Y0.125Zr1.6Ta0.4O12,3.17E-04,1,0.35,,,Li6.6La2.875Y0.125Zr1.6Ta0.4O12
1341,Li6.6La2.75Y0.25Zr1.6Ta0.4O12,4.36E-04,1,0.34,,,Li6.6La2.75Y0.25Zr1.6Ta0.4O12
1342,Li6.6La2.5Y0.5Zr1.6Ta0.4O12,2.26E-04,1,0.39,,,Li6.6La2.5Y0.5Zr1.6Ta0.4O12
1343,Li2ZrS3,7.30E-06,1,,,,Li2ZrS3
1344,Li2.2Zn0.1Zr0.9S3,1.20E-04,1,,,,Li2.2Zn0.1Zr0.9S3
1345,0.7Li2S-0.3P2S5,8.10E-05,1,0.425,,,Li1.4S2.2P0.6
1346,Li7PS6,1.61E-06,1,0.16,,,Li7PS6
