,formula,space group #,space group,structure,target,ion_tosub1,ion_tosub2,ion_tosub3,ion_tosub4
92,Li6.2La3Zr1.2Ta0.8O12,230.0,,,-3.494850022,La3+,Zr4+,Ta5+,
93,Li6.2La3Zr1.2Ta0.8O12,230.0,,,-3.494850022,La3+,Ta5+,,
94,La3Li5.08Ta1.51Zr0.39O12,230.0,,,-3.987162775,La3+,Ta5+,,
95,Li6La3ZrSbO12,,,,-3.585026652,La3+,Sb4+,,
96,Li6.10La3Zr2Ga0.25O12,,,,-4.15490196,La3+,Ga3+,,
97,Li6.6La3Zr1.6Ta0.4O12,230.0,,,-3.13667714,La3+,Ta5+,,
98,Li6.55La3Zr1.55Ta0.45O12,230.0,,,-3.161150909,La3+,Ta5+,,
99,Li6.8La3Zr1.8Sb0.2O12,,,,-4.229147988,La3+,Zr4+,Sb4+,
100,Li6.65La3Zr1.65Ta0.35O12,230.0,,,-3.113509275,La3+,Ta5+,,
101,Li6.62La3Zr1.62Nb0.38O12,,,,-3.355561411,La3+,Nb5+,,
102,Li6.5La3Zr1.5Ta0.5O12,230.0,,,-3.214670165,La3+,Ta5+,,
103,Li6.25La3Zr2Ga0.25O12,230.0,,,-3.455931956,La3+,Ga3+,,
104,Li49.6Al1.6La24Zr14.4Ta1.6O96,230.0,,,-3.211831629,La3+,Al3+,Ta5+,
105,Li6.2La3Zr1.2Sb0.8O12,,,,-3.346787486,La3+,Zr4+,Sb4+,
106,Li6.5La3Zr1.5Ta0.5O12,230.0,,,-3.173925197,La3+,Ta5+,,
107,Li6La3ZrSbO12,230.0,,,-3.585026652,La3+,Sb4+,,
108,Li6.8La3Zr1.8Sb0.2O12,230.0,,,-4.229147988,La3+,Zr4+,Sb4+,
109,Li6.2La3Zr1.6Mo0.4O12,230.0,,,-3.468521083,La3+,Mo6+,,
110,Li6.5La3Zr1.75Mo0.25O12,230.0,,,-3.477555766,La3+,Mo6+,,
111,Li6.4La3Zr1.7Mo0.3O12,230.0,,,-3.432973634,La3+,Mo6+,,
112,Li6.6La3Zr1.6Ta0.4O12,230.0,,,-3.13667714,La3+,Ta5+,,
113,Li6.4La3Zr1.4Sb0.6O12,230.0,,,-3.180456064,La3+,Zr4+,Sb4+,
114,Li6.6La3Zr1.8Mo0.2O12,230.0,,,-3.507239611,La3+,Mo6+,,
115,Li6.660La3Zr2O12Al0.258,230.0,,,-3.821023053,La3+,Zr4+,Al3+,
116,Li6.16Al0.28La3Zr2O12,230.0,,,-3.214670165,La3+,Zr4+,Al3+,
117,Li6.88La3Zr1.88Nb0.12O12,230.0,,,-3.222573178,La3+,Nb5+,,
118,Li6.4La3Zr1.4Ta0.4Nb0.2O12,230.0,,,-3.341988603,La3+,Ta5+,Nb5+,
119,Li6.5La3Zr1.75Te0.25O12,230.0,,,-2.991399828,La3+,Zr4+,Te6+,
120,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,230.0,,,-3.278189385,La3+,Ba2+,Ta5+,Nb5+
121,Li6.15La3Zr1.75Ta0.25Ga0.2O12,230.0,,,-3.387216143,La3+,Ta5+,Ga3+,
122,Li6.4Al0.2La3Zr2O12,,,garnet,,Al3+,La3+,Zr4+,
123,Li6.75La3Zr2Al0.25O12,,,garnet,,La3+,Zr4+,Al1+,
124,Li6.5Ga0.2La2.95Rb0.05Zr2O12,,,garnet,,Ga3+,La3+,Rb1+,Zr4+
125,Li7La3Zr2O12,,,garnet,,La3+,Zr4+,,
