ionA ionB gAB
K:1+ Mo:3+ 2.481454088139569
Pu:4+ Zr:4+ 2.480940914083328
Fe:3+ Ru:4+ 2.478237620440336
Ba:2+ K:1+ 2.476918532732615
Mo:6+ Rh:3+ 2.476225801882496
Ca:2+ Na:1+ 2.4758939555203376
Nb:5+ Sn:4+ 2.473733426384842
Gd:3+ In:3+ 2.472400548254821
La:3+ Yb:3+ 2.4683912033212456
Fe:2+ V:2+ 2.464621942935056
Ga:3+ Ni:3+ 2.4622359903360573
Hg:2+ Pd:2+ 2.45627421385818
Er:3+ Ti:3+ 2.454603141005279
Mg:2+ Zr:4+ 2.453873026206734
Pr:3+ U:3+ 2.4533302666400942
Hg:2+ Yb:2+ 2.452004538426354
Ca:2+ Pb:2+ 2.4494602213629677
Hg:2+ Sn:2+ 2.4489109410208756
Pr:3+ Tl:3+ 2.448779852270244
Gd:3+ U:4+ 2.447433120721841
Ca:2+ Se:4+ 2.4437106706723806
Tb:3+ Tl:1+ 2.4368203933438712
Gd:3+ Na:1+ 2.431376326675332
Mg:2+ Na:1+ 2.430830976444394
Re:6+ U:6+ 2.4266386332928036
Mn:3+ Ni:2+ 2.4235577252842355
Au:3+ Pd:2+ 2.422661407734193
Mo:6+ Ni:3+ 2.421302225412296
Cd:2+ Cr:4+ 2.417052093439358
Ni:2+ V:4+ 2.4142926031977807
In:3+ Y:3+ 2.4095613039983586
Re:5+ Tl:1+ 2.4094301622488796
La:3+ Tb:3+ 2.4069866644545783
Cd:2+ V:4+ 2.405834518172016
Li:1+ Yb:3+ 2.4039326701693082
La:3+ Tl:3+ 2.402678012876474
Pb:4+ Ti:4+ 2.4012708722039067
Lu:3+ Tl:3+ 2.3955948469240393
Dy:3+ Li:1+ 2.3955882898438823
Ce:3+ Yb:3+ 2.394899853072776
S:4+ Te:4+ 2.3944985300437067
Mg:2+ Mn:3+ 2.3906903641456125
Cd:2+ Mo:6+ 2.3876370175891335
Nb:4+ V:3+ 2.384640207873076
Ir:4+ Mn:2+ 2.381479993383806
K:1+ Sb:5+ 2.380610766587144
As:5+ Nb:5+ 2.3768508676236784
Lu:3+ Tl:1+ 2.376030988926726
In:3+ Mo:3+ 2.37538022350046
Sc:3+ Ti:3+ 2.3735525409322618
Am:3+ Pb:2+ 2.3729233496991418
V:3+ Yb:3+ 2.372893893830798
Co:3+ Ru:4+ 2.3693099070753174
Mn:4+ Ni:4+ 2.3650753525924983
Pr:4+ Sc:3+ 2.3645297789395023
Ni:2+ Pd:2+ 2.360913835060704
Dy:3+ Se:4+ 2.3582452726032512
Mo:4+ Ta:5+ 2.3574813602043636
Sm:3+ Tl:1+ 2.356755804404697
Cd:2+ Cr:3+ 2.3534852507872426
